コード,ユニット,サブユニット,タイトル,説明,
HEI03,陸上自衛隊の基礎,兵科,特科（砲兵）,"特科は、大砲やロケットを使って遠距離から火力支援を行う兵科です。一般には砲兵と呼ばれ、歩兵や戦車が前進する際に後方から攻撃して援護します。敵の拠点や陣地を弱らせることで、味方が有利に戦える状況をつくり出します。近代以降の戦争では「砲兵は戦場の神」と言われるほど重要であり、その伝統は今も受け継がれています。陸上自衛隊でも長距離射程の火砲や多連装ロケットを装備し、遠隔から精密な攻撃を行える体制を整えています。さらに対艦ミサイル部隊も特科に含まれ、日本周辺の島嶼防衛にも大きな役割を果たしています。英語では
  “artillery” と呼ばれ、世界各国の軍隊に共通する主要兵科の一つです。",3級-軍事と戦略
HEI04,陸上自衛隊の基礎,兵科,機甲科（戦車部隊）,"機甲科は、戦車を中心に編成された部隊で、強力な火力と防御力、そして機動力を兼ね備えています。厚い装甲で乗員を守り、大口径の主砲で敵陣を撃破し、歩兵や砲兵と連携して突破口を切り開くのが役割です。戦車は第二次世界大戦以降の地上戦において主役となり、現代でもなお重要な戦力です。陸上自衛隊では74式、90式、最新の10式戦車が運用され、電子装備によって高い命中精度と情報共有能力を備えています。機甲部隊は広い平野や開けた地形で力を発揮し、敵の防御を一気に崩す「矛」として機能します。英語では
  “armor” または “armored branch” と呼ばれ、各国軍の主力兵科の一つに数えられます。",3級-軍事と戦略
HEI05,陸上自衛隊の基礎,兵科,施設科（工兵）,"施設科は、軍隊が活動するための道を切り開く兵科で、一般には工兵と呼ばれます。橋を架けたり、障害物を除去したり、道路を整備したりして、部隊の移動や補給を可能にするのが主な任務です。戦場では敵の妨害を取り除き、味方が前進できるように環境を整えます。逆に防御の際には、地雷や障害物を設置して敵の進撃を遅らせる役割も担います。陸上自衛隊の施設科は、重機や架橋装備を駆使し、災害派遣では道路復旧や倒壊物の除去に活躍します。そのため「戦場の土木屋」と呼ばれることもあり、軍事と民生の両方で欠かせない存在です。英語では
  “engineers” または “combat engineers” と呼ばれ、各国軍で共通する重要な兵科とされています。",3級-軍事と戦略
HEI06,陸上自衛隊の基礎,兵科,後方支援（補給・輸送・整備・衛生）,"軍隊は戦闘部隊だけでは機能しません。弾薬や食料を届ける補給、車両や装備を直す整備、部隊を動かす輸送、そして負傷者を救う衛生。これらを総称して「後方支援」と呼びます。陸上自衛隊には、需品科（補給）、輸送科、衛生科、武器科といった職種があり、それぞれ専門の技術と装備を備えています。例えば補給部隊は燃料や弾薬を絶え間なく前線に送り、整備部隊は故障した戦車や火砲を修理し、再び戦える状態に戻します。輸送部隊は物資や人員を安全に運び、衛生部隊は野戦病院を展開して治療や後送を行います。これらが機能しなければ戦闘部隊は数日で力を失うため、後方支援は「戦闘力の生命線」といえる存在です。英語では
  “logistics” と総称されます。",3級-軍事と戦略
ORG01,陸上自衛隊の基礎,陸自の組織と編成,陸上自衛隊の全体像,"陸上自衛隊は約15万人の隊員を擁する日本最大の防衛組織です。全体の指揮系統はピラミッド状になっており、頂点には防衛大臣、そして統合幕僚長、統合作戦司令官がいます。その下で軍事的な専門トップとして組織を管理するのが「陸上幕僚監部」であり、いわば陸自の頭脳となります。
実働部隊は大きく二つに分かれています。一つは、日本を5ブロックに分けて地域防衛を担う「方面隊」です。もう一つは、全国へ迅速に展開する機動部隊を束ねる「陸上総隊」です。有事には総隊が陸自全体を統合し、統合作戦司令官の指揮のもとで陸海空連携の作戦を一元的に担います。
最前線を支えるため、隊員を育成する教育機関や後方支援組織も存在します。統合運用というシステムの中で、頭脳、地域防衛、機動展開、支援組織が緊密に連携し、巨大な陸自が一体となって国を守っているのです。",3級-軍事と戦略
ORG02,陸上自衛隊の基礎,陸自の組織と編成,全国を守る５つの方面隊,"陸上自衛隊は、南北に長い日本列島を守るため、全国を5つのブロックに分けて「方面隊」を配置しています。北海道の「北部」、東北地方の「東北」、関東・甲信越の「東部」、東海から四国までを含む「中部」、そして中国・九州・沖縄を担当する「西部」の5つの方面隊です。   
  それぞれが管轄地域の防衛や災害対応に責任を持ちます。最大の特徴は、地域の特性に合わせて編成が異なる点です。例えば、広大な北海道を守る北部方面隊は戦車などの重装備を多く持ち、島々が連なる西部方面隊は海や空からの展開に対応した部隊が充実しています。   
  各方面隊のトップである「方面総監」は、平時から地域の知事や自治体と連携を深めています。いざという時には即座に部隊を動かし、それぞれの持ち場から日本全土をパズルのように隙間なく守り固めているのです。",3級-軍事と戦略
ORG03,陸上自衛隊の基礎,陸自の組織と編成,作戦の基本「師団・旅団」,"方面隊の下に配置され、独立して作戦を行うための基本単位となるのが「師団」と「旅団」です。師団は約6,000〜8,000人、旅団はその半分程度の人数で構成されており、日本全国に15個が配置され、それぞれが担当する県や地域を持っています。   
  これら最大の強みは「諸職種連合」という仕組みです。普通科（歩兵）や機甲科（戦車）などの戦闘部隊だけでなく、通信、施設、補給、衛生といったあらゆる専門兵科が一つのグループにまとまっています。そのため、外部からの支援を待つことなく、自分たちだけで自己完結して長期間戦ったり、災害派遣活動を行ったりすることができます。   
  隊員たちはそれぞれ専門の部隊に所属しますが、師団や旅団という「あらゆる機能が揃った巨大なチーム」の一員として連携することで、複雑な任務を達成できるのです。",3級-軍事と戦略
ORG04,陸上自衛隊の基礎,陸自の組織と編成,連隊から小隊までの階層,"師団や旅団の下に配置され、特定の地域や任務の要となるのが「連隊（れんたい）」です。約1,000人規模で編成され、作戦を遂行する上での中心的なまとまりとなります。連隊はさらに細かく分かれ、数百人規模の「大隊」または「中隊」へと続きます。
中隊の下には数十人で構成される「小隊」、さらに数人から十数人の「班」という最小単位へと細分化されていきます。新しく入隊した若い隊員にとって、最も身近な生活と訓練の基盤となるのが、この中隊から班に至る小さなグループです。
隊員たちは、顔の見える範囲の上官から直接の指揮を受け、仲間と固い絆を結びながら日々の厳しい訓練を重ねます。巨大な陸上自衛隊の作戦も、最後はこうした小さなチームの強い信頼関係とチームワークの積み重ねによって実行されているのです。",3級-軍事と戦略
ORG05,陸上自衛隊の基礎,陸自の組織と編成,即応展開する精鋭部隊,"陸上自衛隊には、地域ごとの守りを固める部隊とは別に、有事の際に全国どこへでも真っ先に駆けつける機動性の高い精鋭部隊が存在します。これらは陸上総隊の指揮下に置かれ、極めて専門的で特殊な任務を遂行するための部隊です。
代表的なものとして、パラシュート降下により空から目標地域へ展開する「第1空挺団」や、海から島嶼部へ上陸して奪還作戦を行う日本版海兵隊ともいえる「水陸機動団」が挙げられます。また、対テロ作戦や高度な特殊任務を専門とする「特殊作戦群」のような部隊も存在します。
通常の隊員よりもさらに過酷で厳しい訓練を乗り越えた者だけが所属できるこれらの部隊は、現代の複雑化する安全保障環境において、最も困難な任務をいち早く遂行する切り札として、日本の防衛に欠かせない役割を担っています。",3級-軍事と戦略
DEP01,陸上自衛隊の基礎,国内の配備と役割,全国に広がる駐屯地,"陸上自衛隊の駐屯地は、北は北海道から南は沖縄まで、全国に約160カ所も存在します。なぜこれほど細かく分散しているのでしょうか。最大の理由は、南北に細長い日本列島のどこで有事や大規模災害が起きても、すぐさま部隊が駆けつけられるようにするためです。
それぞれの駐屯地は、その地域の地形や気候を熟知した隊員たちが日々の訓練を行う拠点です。特に自然災害の多い日本では、駐屯地が各地にあることで、被災地への迅速な人命救助や物資輸送が可能になっています。
また、駐屯地は地域社会と密接に結びついています。隊員たちは防衛という大きな任務を担いながらも、普段は地域行事への参加や防災訓練を通じて地元住民と協力し合っています。全国の駐屯地は、地域に寄り添いながら国を守る「安心の拠点」として機能しているのです。",3級-軍事と戦略
DEP02,陸上自衛隊の基礎,国内の配備と役割,かつての「北の防壁」,"現在でこそ全国に機動的に部隊を展開する陸上自衛隊ですが、かつての配備は全く異なる姿をしていました。冷戦時代、最大の軍事的な脅威は北の超大国であるソビエト連邦だったためです。万が一、ソ連軍が日本に侵攻してくるとすれば、そのルートは北海道であると想定されていました。
この「北からの脅威」を食い止めるため、陸上自衛隊は戦車や大砲といった重装備や精鋭部隊の多くを北海道に集中配備しました。広大な大地を利用して大規模な戦闘訓練が行われ、北海道はまさに日本を守るための巨大な「防壁」としての役割を担っていたのです。
時代が変わり冷戦が終結すると、この北に偏った重装備の配置は見直されることになります。しかし、この時代に北海道で培われた過酷な雪中戦や大規模部隊を運用するノウハウは、今の隊員たちにもしっかりと受け継がれています。",3級-軍事と戦略
DEP03,陸上自衛隊の基礎,国内の配備と役割,南西シフトという転換,"冷戦が終結すると、日本の安全保障を取り巻く環境は大きく変化しました。北からの脅威が減少した一方で、周辺国の活発な海洋進出などにより、九州から沖縄へと連なる「南西諸島」の防衛が喫緊の課題となったのです。
この新たな事態に対応するため、陸上自衛隊は大きな決断を下しました。防衛の重心を北海道から南西方面へと一気に移す「南西シフト」と呼ばれる戦略的な配置転換です。戦車などの重装備を削減する代わりに、機動力の高い車両やミサイルを増強し、部隊のあり方を根本から見直しました。
この劇的なシフトは現在も進行中です。かつて北の大地を守るため重厚に構えていた陸上自衛隊は、今や美しい海に浮かぶ数多くの島々を守り抜く機動的な体制へと、その組織の姿を大きく変容させているのです。",3級-軍事と戦略
DEP04,陸上自衛隊の基礎,国内の配備と役割,島々を守るミサイルの壁,"「南西シフト」を最も象徴するのが、これまで自衛隊の部隊が配置されていなかった空白地域への新たな展開です。近年、与那国島、宮古島、奄美大島、そして石垣島に新しい駐屯地が次々と開設されました。
これらの駐屯地には、周辺の海や空を警戒監視する部隊だけでなく、他国の艦艇を狙う「地対艦ミサイル部隊」や、空からの脅威に備える「地対空ミサイル部隊」が配備されています。点在する島々に拠点を置くことで、日本の南西地域に強力なミサイルの網、いわば「見えない防壁」を築いているのです。
これにより、他国の軍隊が日本の領海や領空に容易に接近することを強く牽制できます。最前線となる島々の新しい駐屯地は、地元住民に安心をもたらすとともに、日本全体の平和を維持する最重要拠点として機能しています。",3級-軍事と戦略
DEP05,陸上自衛隊の基礎,国内の配備と役割,全国から駆けつける機動力,"防衛の重心が南西諸島に移ったとはいえ、すべての部隊を限られた広さの島々に常駐させることは不可能です。そこで現代の陸上自衛隊が最も重視しているのが、いざという時に全国の部隊を必要な場所へ一気に移動させる「機動展開能力」です。
事態が発生すれば、北海道や本州など全国の駐屯地にいる隊員たちが即座に出動します。そして、民間フェリーや海上自衛隊の輸送艦、輸送機などを駆使して、数千キロ離れた最前線へ装備とともに駆けつけるのです。この「動く防衛力」こそが現代の要となります。
普段は地域に密着して全国に分散配置されながらも、有事には一つの大きな力となって特定の地域に集中する。これが、約15万人の隊員と全国約160の駐屯地を機能させる、現代の陸上自衛隊の最も洗練された配備の姿なのです。",3級-軍事と戦略
KAN01,海上自衛隊の基礎,艦種の違い,海自の主力「護衛艦」,"海上自衛隊の主役は「護衛艦」です。国際的な分類では「駆逐艦（Destroyer）」にあたります。かつての駆逐艦は艦隊を守る小さなボディーガードでしたが、現代では高性能なレーダーや多数のミサイルを積むことで巨大化し、防空から潜水艦への対処まで1隻でこなせる万能艦へと進化しました。
護衛艦には目的によって様々な形があります。強力なレーダーで敵の弾道ミサイルを撃ち落とす「イージス艦」や、多数のヘリコプターを搭載できる巨大な「いずも」型などです。これらはかつての巡洋艦を凌ぐ大きさですが、大きさではなく「敵の攻撃から国や味方を守り抜く」という役割を受け継いでいるため、護衛艦と呼ばれています。
周囲を海に囲まれた日本にとって、海の安全は国の生存に直結します。多様な護衛艦がチームを組み、日本の領海や大切な海の道（シーレーン）を日夜守り抜く、海上防衛の要なのです。",3級-軍事と戦略
KAN02,海上自衛隊の基礎,艦種の違い,海の忍者「潜水艦」,"護衛艦が海上の主役なら、海中の主役は「潜水艦」です。最大の武器である「隠密性」の理由は極めてシンプルで、レーダーなどに使われる「電波」が海中では届かないからです。ひとたび深く潜ってしまえば、どんなハイテク機器を使っても、その姿を見つけ出すことは非常に困難になります。
電波が使えない海中での戦いは「音」がすべてです。自らは徹底して音を消し、相手の出す音を「ソナー」で探り当てます。海上自衛隊の潜水艦は通常動力型としては世界トップクラスの静粛性を誇り、長期間にわたって海中に潜み、密かに警戒監視の任務を遂行し続けます。
他国からすれば「どこに日本の潜水艦が潜んでいるか分からない」こと自体が脅威であり、これが日本への接近をためらわせる強力な牽制（抑止力）となります。誰の目にも触れることなく日本の海を守り抜く、まさに現代の「海の忍者」と呼べる戦略的な存在です。",3級-軍事と戦略
KAN03,海上自衛隊の基礎,艦種の違い,艦隊を支える多様な艦艇,"戦闘を直接担う護衛艦や潜水艦の陰で、作戦全体を支える重要な艦艇があります。代表的なのが「掃海艇（そうかいてい）」です。海に仕掛けられた爆弾である「機雷」を見つけ出し、安全な航路を切り開く危険な任務を担います。海自の機雷排除能力は世界最高水準とされています。
また、遠方の作戦を支える「補給艦」も欠かせません。洋上で走りながら護衛艦に燃料や食料を補給し、艦隊が長期間海にとどまることを可能にします。さらに、戦車や陸上自衛隊の隊員たちを大量に運ぶ「輸送艦」は、島嶼防衛や大規模災害の派遣で大きな力を発揮します。
華やかな戦闘艦だけでなく、危険な機雷の排除や、燃料と物資の輸送といった地道な「後方支援」があってこそ、艦隊は初めてその力を存分に発揮できます。これらの艦艇は、作戦を成功に導く縁の下の力持ちなのです。",3級-軍事と戦略
KAN04,海上自衛隊の基礎,艦種の違い,空から海を守る航空部隊,"海上自衛隊と聞くと船を連想しますが、実は世界有数の「航空部隊」を持っています。広大な海を守るには、船のレーダーだけでは限界があり、空からの「目」が不可欠だからです。その主役となるのが、海中に潜む敵の潜水艦を探し出す「哨戒機（しょうかいき）」や「哨戒ヘリコプター」です。
特に国産のP-1哨戒機は、空から音波探知機を海に投下し、見えない潜水艦を正確に追い詰める高い能力を持っています。また、海上自衛隊は戦闘機を持っていませんが、航空自衛隊との統合運用が進んでいます。
現在、最大の護衛艦「いずも」型を改修し、有事の際には航空自衛隊の最新ステルス戦闘機F-35Bを発着艦させる計画が進行中です。船と飛行機、そして海自と空自が一体となって、日本の空と海を立体的に守り抜く新時代に突入しているのです。",3級-軍事と戦略
ORG21,海上自衛隊の基礎,海自の組織と編成,自衛艦隊と地方隊,"海上自衛隊の組織は、大きく二つの柱で成り立っています。一つは、日本の周辺海域から海外まで広く活動する機動部隊の「自衛艦隊」です。自衛艦隊は、護衛艦、潜水艦、そして航空機を一つの指揮下におさめ、有事には最前線で作戦を遂行する海自の主力部隊となります。
もう一つの柱が、全国を5つの区域に分けて沿岸の防備を担う「地方隊」です。地方隊は、担当する海域のパトロールや機雷の排除を行うだけでなく、港の維持、燃料や弾薬の補給、隊員の生活支援といった重要な「基地業務」を一手に引き受けています。
つまり、自衛艦隊という最前線で戦う巨大な「矛」を、地方隊という「盾と土台」がしっかりと支える構造になっています。この二つが車の両輪として機能することで、日本の広い海を守る作戦が途切れることなく実行できるのです。",3級-軍事と戦略
ORG22,海上自衛隊の基礎,海自の組織と編成,護衛隊群というチーム,"自衛艦隊の中核となるのが「護衛隊群」という作戦の基本単位です。海自の護衛艦は約50隻ありますが、そのうち最新鋭の大型艦ばかりを集めたエース部隊がこの護衛隊群です。横須賀や呉など4カ所を拠点にし、それぞれ8隻の護衛艦で構成される「8隻×4つ＝計32隻」の強力な機動部隊です。
このチーム編成は非常に合理的です。多数のヘリを積める護衛艦を中心に、敵のミサイルを撃ち落とすイージス艦、そして潜水艦を探す能力に優れた汎用護衛艦が組み合わされ、互いの弱点を補い合います。
護衛隊群が海外など遠方の最前線へ展開している間、残りの十数隻の護衛艦が日本近海のパトロールや沿岸警備を引き受けます。この「最前線のエース部隊」と「近海を守る部隊」の2段構えで、日本の海は守られているのです。",3級-軍事と戦略
ORG23,海上自衛隊の基礎,海自の組織と編成,フネの中の階層・役割,"1隻の護衛艦は、それ自体が独立した「ひとつの町」であり、精巧な組織です。トップである艦長の指揮のもと、隊員たちは専門の役割（科）に分かれています。船の進路を決め操縦する「航海科」、ミサイルやレーダーなどを扱う「砲雷科」、エンジンや発電機を動かす「機関科」などが代表的です。
また、長期間の洋上生活を支えるため、食事を作る調理員や、経理・衛生を担当する隊員も欠かせません。最新鋭のシステムを搭載した巨大な機械を動かすには、こうした各部門のプロフェッショナルたちが歯車のように完璧に噛み合う必要があります。
海の上では常に危険と隣り合わせのため、隊員たちは交代制（ワッチ）で24時間休むことなく勤務します。全員が自分の役割を確実に果たす強いチームワークがあってこそ、過酷な任務を遂行できるのです。",3級-軍事と戦略
DEP21,海上自衛隊の基礎,国内の配備と役割,日本を守る5大基地,"海上自衛隊は、日本列島を取り囲む海を隙間なく守るため、全国に5つの主要な基地を置いています。神奈川県の「横須賀」、広島県の「呉」、長崎県の「佐世保」、京都府の「舞鶴」、青森県の「大湊」です。これらが海自の活動を支える重要な基盤となります。
なぜこの5カ所なのでしょうか。地図を見ると一目瞭然ですが、これらは東京湾や瀬戸内海への入り口、あるいは大陸と向き合う日本海や津軽海峡といった、海上交通や防衛の「急所（チョークポイント）」にあたる港町だからです。
各基地には地方隊が置かれ、そこを母港とする艦艇や潜水艦が配備されています。この5つの拠点が全国のネットワークを結ぶことで、南北に長い日本の周辺海域を24時間体制で監視し、日本の海を守っています。",3級-軍事と戦略
DEP22,海上自衛隊の基礎,国内の配備と役割,太平洋側の防衛線,"5大基地のうち、太平洋側に位置する「横須賀」と「呉」は、海上自衛隊の運用と後方支援を支える中核的な拠点です。どちらも天然の良港であり、古くから日本の海防を担ってきた歴史を持っています。
首都の海の玄関口である横須賀の最大の特徴は、アメリカ海軍の第7艦隊がともに拠点を置いている点です。日米の艦艇が同じ港を共有し、日常的に連携を深めることで、強固な日米同盟を象徴する重要な基地となっています。
一方の呉は、潜水艦部隊の主力拠点であると同時に、艦艇の修理や補給、さらには隊員を育成する教育機関が集まっています。太平洋に向けて部隊を送り出し、整備や物資の面から背後でしっかりと支える、西日本の防衛の要石です。",3級-軍事と戦略
DEP23,海上自衛隊の基礎,国内の配備と役割,日本海・東シナ海の最前線,"太平洋側とは対照的に、大陸や朝鮮半島と直接向き合う「佐世保」「舞鶴」「大湊」の各基地は、常に高い緊張感に包まれた警戒監視の最前線です。ここは他国の艦艇が太平洋へ抜けるための通り道に面しています。
特に長崎県の佐世保は、東シナ海から南西諸島にかけての防衛を担う要衝です。護衛艦や水陸両用作戦を支援する艦艇が配備されており、近年活発化する他国の海洋進出に即座に対応する西側の最前線として重要な役割を持っています。
京都府の舞鶴と青森県の大湊は、日本海や北方の海域を睨む拠点です。弾道ミサイルの警戒や、海峡を通過する他国艦艇の監視を地道に24時間体制で行っています。これら最前線の基地の着実な活動で、日本の海は守られています。",3級-軍事と戦略
AIR01,航空自衛隊の基礎,機種の違い,空自の主役「戦闘機」,（準備中）このカードは現在作成中です。,3級-軍事と戦略
AIR02,航空自衛隊の基礎,機種の違い,空を守る目「早期警戒機」,（準備中）このカードは現在作成中です。,3級-軍事と戦略
AIR03,航空自衛隊の基礎,機種の違い,空の輸送を担う「輸送機」,（準備中）このカードは現在作成中です。,3級-軍事と戦略
AIR04,航空自衛隊の基礎,機種の違い,地上を守る「地対空ミサイル」,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ORG41,航空自衛隊の基礎,空自の組織と編成,航空自衛隊の全体像,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ORG42,航空自衛隊の基礎,空自の組織と編成,航空方面隊という地域の守り,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ORG43,航空自衛隊の基礎,空自の組織と編成,基地と飛行隊の仕組み,（準備中）このカードは現在作成中です。,3級-軍事と戦略
DEP41,航空自衛隊の基礎,空自の配備と役割,日本の空を守る基地の配置,（準備中）このカードは現在作成中です。,3級-軍事と戦略
DEP42,航空自衛隊の基礎,空自の配備と役割,スクランブル発進という最前線,（準備中）このカードは現在作成中です。,3級-軍事と戦略
DEP43,航空自衛隊の基礎,空自の配備と役割,防空識別圏と領空侵犯対処,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD01,組織と指揮系統,階級と役割,自衛隊の階級ってどうなってる？,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD02,組織と指揮系統,階級と役割,幹部・准曹・士の違い,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD03,組織と指揮系統,階級と役割,階級と責任の関係,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD11,組織と指揮系統,指揮命令系統と統合運用,誰が自衛隊に命令するのか,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD12,組織と指揮系統,指揮命令系統と統合運用,統合幕僚監部と統合作戦司令部,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD13,組織と指揮系統,指揮命令系統と統合運用,方面隊・艦隊・航空方面隊という中間司令部,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD14,組織と指揮系統,指揮命令系統と統合運用,陸海空が一つになる統合運用,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD21,組織と指揮系統,東日本大震災・統合運用の実際,10万人が動いた日,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD22,組織と指揮系統,東日本大震災・統合運用の実際,陸海空が連携した救援作戦,（準備中）このカードは現在作成中です。,3級-軍事と戦略
CMD23,組織と指揮系統,東日本大震災・統合運用の実際,災害派遣が教えてくれたこと,（準備中）このカードは現在作成中です。,3級-軍事と戦略
TRN01,訓練と日常生活,日常訓練,自衛官の体力基準——トップアスリートと同レベル,（準備中）このカードは現在作成中です。,3級-軍事と戦略
TRN02,訓練と日常生活,日常訓練,射撃訓練——兵科によってこれだけ違う,（準備中）このカードは現在作成中です。,3級-軍事と戦略
TRN11,訓練と日常生活,組織的・国際的訓練,部隊演習という「擬似実戦」,（準備中）このカードは現在作成中です。,3級-軍事と戦略
TRN12,訓練と日常生活,組織的・国際的訓練,"キーン・ソード——45,000人が動く日米共同演習",（準備中）このカードは現在作成中です。,3級-軍事と戦略
TRN13,訓練と日常生活,組織的・国際的訓練,演習が変えるもの——訓練と実戦の間,（準備中）このカードは現在作成中です。,3級-軍事と戦略
LIFE01,訓練と日常生活,隊員の日常生活,自衛隊の一日——6時起床から22時消灯まで,（準備中）このカードは現在作成中です。,3級-軍事と戦略
LIFE02,訓練と日常生活,隊員の日常生活,海自カレーと空自空上げ——食から見る自衛隊,（準備中）このカードは現在作成中です。,3級-軍事と戦略
LIFE03,訓練と日常生活,隊員の日常生活,個室化と制服のアイロン——変わる自衛隊の日常,（準備中）このカードは現在作成中です。,3級-軍事と戦略
EQU01,戦士と実戦,戦場の現実,ノルマンディ——あの扉が開いた瞬間,（準備中）このカードは現在作成中です。,3級-軍事と戦略
EQU02,戦士と実戦,戦場の現実,ベトナム——見えない敵との戦い,（準備中）このカードは現在作成中です。,3級-軍事と戦略
EQU03,戦士と実戦,戦場の現実,アフガン——最強軍隊が勝てなかった戦争,（準備中）このカードは現在作成中です。,3級-軍事と戦略
SUP01,戦士と実戦,PKO・災害派遣,イラク派兵——戦士として初めて立った地,（準備中）このカードは現在作成中です。,3級-軍事と戦略
SUP02,戦士と実戦,PKO・災害派遣,東日本大震災——現場の隊員が見たもの,（準備中）このカードは現在作成中です。,3級-軍事と戦略
SUP03,戦士と実戦,PKO・災害派遣,南スーダンPKO——銃声の中の人道支援,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WAR01,戦士と実戦,訓練と覚悟,訓練は何のためにあるか,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WAR02,戦士と実戦,訓練と覚悟,志願——なぜ前線に行くのか,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WAR03,戦士と実戦,訓練と覚悟,使命感——自衛官が持つもの,（準備中）このカードは現在作成中です。,3級-軍事と戦略
JPNDF01,日本周辺の軍事情勢,概論,なぜ日本周辺は緊張するのか——地政学的宿命,（準備中）このカードは現在作成中です。,3級-軍事と戦略
JPNDF02,日本周辺の軍事情勢,概論,抑止力とは何か——日本の安全を支える論理,（準備中）このカードは現在作成中です。,3級-軍事と戦略
JPNDF11,日本周辺の軍事情勢,中国,中国の海洋進出——なぜ海に出るのか,（準備中）このカードは現在作成中です。,3級-軍事と戦略
JPNDF12,日本周辺の軍事情勢,中国,台湾・尖閣問題の構造,（準備中）このカードは現在作成中です。,3級-軍事と戦略
JPNDF21,日本周辺の軍事情勢,北朝鮮・ロシア,北朝鮮はなぜミサイルを撃つのか,（準備中）このカードは現在作成中です。,3級-軍事と戦略
JPNDF22,日本周辺の軍事情勢,北朝鮮・ロシア,ロシアと日本——変わらない地政学,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF01,世界の軍事情勢,概論,世界の軍事バランスを決めるもの,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF02,世界の軍事情勢,概論,軍事費が示す国家の意志,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF11,世界の軍事情勢,ウクライナ・欧州,ウクライナ戦争が変えた世界の安全保障の常識,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF12,世界の軍事情勢,ウクライナ・欧州,欧州の安全保障——NATOという仕組み,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF21,世界の軍事情勢,中東・インド太平洋,中東——なぜ終わらないのか,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF22,世界の軍事情勢,中東・インド太平洋,インド太平洋という新しい概念,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM01,自衛隊の武器・兵器（マニア枠）,陸自装備,10式戦車——日本最新鋭の主力戦車,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM02,自衛隊の武器・兵器（マニア枠）,陸自装備,装甲車両——機動力の核心,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM03,自衛隊の武器・兵器（マニア枠）,陸自装備,火砲と自走砲——陸の長距離打撃力,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM04,自衛隊の武器・兵器（マニア枠）,陸自装備,陸自の航空戦力——ヘリと無人機,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM05,自衛隊の武器・兵器（マニア枠）,陸自装備,地対艦・地対空ミサイル——島を守る壁,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM21,自衛隊の武器・兵器（マニア枠）,海自装備,イージス艦——海の盾,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM22,自衛隊の武器・兵器（マニア枠）,海自装備,いずも型護衛艦——空母化への道,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM23,自衛隊の武器・兵器（マニア枠）,海自装備,潜水艦——海中の忍者,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM24,自衛隊の武器・兵器（マニア枠）,海自装備,哨戒機——空から海を守る,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM25,自衛隊の武器・兵器（マニア枠）,海自装備,艦対空・艦対艦ミサイル——海からの打撃力,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM41,自衛隊の武器・兵器（マニア枠）,空自装備,ステルス戦闘機——F-35の実力,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM42,自衛隊の武器・兵器（マニア枠）,空自装備,主力戦闘機——F-15とF-2,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM43,自衛隊の武器・兵器（マニア枠）,空自装備,早期警戒機——空の目,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM44,自衛隊の武器・兵器（マニア枠）,空自装備,C-2輸送機——空の兵站を担う国産輸送機,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM45,自衛隊の武器・兵器（マニア枠）,空自装備,空対空・空対艦ミサイル——戦闘機の牙,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM46,自衛隊の武器・兵器（マニア枠）,空自装備,弾道ミサイル防衛——多層の盾,（準備中）このカードは現在作成中です。,3級-軍事と戦略
SUMC01,シュメール・都市国家誕生,,→なぜ雨の降らない土地で文明が？,（準備中）このカードは現在作成中です。,3級-国家と法律
